Sample Number,PolicyStartDate,Excess,AA_monthly_premium,AA_yearly_premium,AA_Error_code,AA_selected_address,AA_estimated_replacement_cost
100001,2024-04-03,500,-1,-1,No Error,,-1
100002,2024-04-03,500,-1,-1,No Error,,-1
100003,2024-04-03,500,-1,-1,No Error,,-1
100004,2024-04-03,500,-1,-1,No Error,,-1
100005,2024-04-03,500,-1,-1,No Error,,-1
100006,2024-04-03,500,-1,-1,No Error,,-1
100007,2024-04-03,500,-1,-1,No Error,,-1
100008,2024-04-03,500,-1,-1,No Error,,-1
100009,2024-04-03,500,-1,-1,No Error,,-1
100010,2024-04-03,500,-1,-1,No Error,,-1
100011,2024-04-03,500,-1,-1,No Error,,-1
100012,2024-04-03,500,-1,-1,No Error,,-1
100013,2024-04-03,500,-1,-1,No Error,,-1
100014,2024-04-03,500,-1,-1,No Error,,-1
100015,2024-04-03,500,-1,-1,No Error,,-1
100016,2024-04-03,500,-1,-1,No Error,,-1
100017,2024-04-03,500,-1,-1,No Error,,-1
100018,2024-04-03,500,-1,-1,No Error,,-1
100019,2024-04-03,500,-1,-1,No Error,,-1
100020,2024-04-03,500,-1,-1,No Error,,-1
100021,2024-04-03,500,-1,-1,No Error,,-1
100022,2024-04-03,500,-1,-1,No Error,,-1
100023,2024-04-03,500,-1,-1,No Error,,-1
100024,2024-04-03,500,-1,-1,No Error,,-1
100025,2024-04-03,500,-1,-1,No Error,,-1
100026,2024-04-03,500,-1,-1,No Error,,-1
100027,2024-04-03,500,-1,-1,No Error,,-1
100028,2024-04-03,500,-1,-1,No Error,,-1
100029,2024-04-03,500,-1,-1,No Error,,-1
100030,2024-04-03,500,-1,-1,No Error,,-1
100031,2024-04-03,500,-1,-1,No Error,,-1
100032,2024-04-03,500,-1,-1,No Error,,-1
100033,2024-04-03,500,-1,-1,No Error,,-1
100034,2024-04-03,500,-1,-1,No Error,,-1
100035,2024-04-03,500,-1,-1,No Error,,-1
100036,2024-04-03,500,-1,-1,No Error,,-1
100037,2024-04-03,500,-1,-1,No Error,,-1
100038,2024-04-03,500,-1,-1,No Error,,-1
100039,2024-04-03,500,-1,-1,No Error,,-1
100040,2024-04-03,500,-1,-1,No Error,,-1
100041,2024-04-03,500,-1,-1,No Error,,-1
100042,2024-04-03,500,-1,-1,No Error,,-1
100043,2024-04-03,500,-1,-1,No Error,,-1
100044,2024-04-03,500,-1,-1,No Error,,-1
100045,2024-04-03,500,-1,-1,No Error,,-1
100046,2024-04-03,500,-1,-1,No Error,,-1
100047,2024-04-03,500,-1,-1,No Error,,-1
100048,2024-04-03,500,-1,-1,No Error,,-1
100049,2024-04-03,500,-1,-1,No Error,,-1
100050,2024-04-03,500,-1,-1,No Error,,-1
100051,2024-04-03,500,-1,-1,No Error,,-1
100052,2024-04-03,500,-1,-1,No Error,,-1
100053,2024-04-03,500,-1,-1,No Error,,-1
100054,2024-04-03,500,-1,-1,No Error,,-1
100055,2024-04-03,500,-1,-1,No Error,,-1
100056,2024-04-03,500,-1,-1,No Error,,-1
100057,2024-04-03,500,-1,-1,No Error,,-1
100058,2024-04-03,500,-1,-1,No Error,,-1
100059,2024-04-03,500,-1,-1,No Error,,-1
100060,2024-04-03,500,-1,-1,"Webiste Does Not Quote For This House/ Person, Issue With BuildingType Column",,-1
